slug,scientific_name,vernacular_en,vernacular_other,use_categories,caution_band,plate_status,public_anchor,notes
aspalathus-linearis,Aspalathus linearis,rooibos,Afrikaans: rooibos,beverages|tonic-plants,open,have,SANBI / commercial + clinical safety literature,Already plated
agathosma-betulina,Agathosma betulina,round-leaf buchu,Afrikaans: boegoe,general-medicines|perfumes-repellents|beverages,caution,have,SANBI / Cape materia; substitution with A. crenulata,Already plated; anti-substitution drill
aloe-ferox,Aloe ferox,Cape aloe / bitter aloe,Afrikaans: bitteraalwyn,general-medicines|wounds-skin|soaps-cosmetics,caution,have,SANBI / export & CITES-adjacent trade tension,Already plated
lessertia-frutescens,Lessertia frutescens,cancer bush / sutherlandia,syn. Sutherlandia frutescens,tonic-plants|general-medicines,caution,have,SANBI / high claim density,Already plated; clinical evidence contested
artemisia-afra,Artemisia afra,African wormwood,Afrikaans: wilde-als; isiZulu: umhlonyane,general-medicines|beverages,caution,have,SANBI / pandemic-era claim inflation,Already plated
sclerocarya-birrea,Sclerocarya birrea,marula,Afrikaans: maroela; Tonga: canhi,fruits-berries|beverages|utility-timbers|soaps-cosmetics,open,have,SANBI / FAO NUS / commercial oil & fruit,Food + craft + oil; low prep risk in public food use
adansonia-digitata,Adansonia digitata,baobab,Afrikaans: kremetart,fruits-berries|seeds-nuts|beverages|utility-timbers,open,have,SANBI / FAO / novel food dossiers,Fruit pulp widely documented as food
harpagophytum-procumbens,Harpagophytum procumbens,devil's claw,Afrikaans: duiwelsklou,general-medicines|tonic-plants,caution,have,SANBI / EU herbal monograph lineage,Trade + wild-harvest pressure; no dose on page
pelargonium-sidoides,Pelargonium sidoides,umckaloabo / African geranium,isiZulu: uvendle,general-medicines,caution,have,SANBI / commercial extract literature,Claim inflation risk; identity vs P. reniforme
hypoxis-hemerocallidea,Hypoxis hemerocallidea,African potato,Afrikaans: Afrika-patat; isiZulu: inkomfe,tonic-plants|general-medicines,caution,have,SANBI / HIV-era claim inflation,High claim density; no dose
siphonochilus-aethiopicus,Siphonochilus aethiopicus,African ginger,isiZulu: indungulo / isiphephetho,general-medicines|perfumes-repellents,caution,have,SANBI / threatened wild populations,Conservation gate before any harvest narrative
warburgia-salutaris,Warburgia salutaris,pepper-bark tree,Afrikaans: peperbasboom; isiZulu: isibaha,general-medicines,caution,have,SANBI / Red List threatened,Conservation + bark overharvest risk
prunus-africana,Prunus africana,African cherry / red stinkwood,Afrikaans: rooistinkhout,general-medicines|utility-timbers,caution,have,CITES Appendix II / SANBI,Bark trade regulated; international caution
carpobrotus-edulis,Carpobrotus edulis,sour fig,Afrikaans: suurvy,fruits-berries|wounds-skin|vegetables,open,have,SANBI / coastal food & topical tradition,Also invasive outside native range; note ecology
bulbine-frutescens,Bulbine frutescens,burn jelly plant,Afrikaans: waterblaar / geelkopieva,wounds-skin,open,have,SANBI / common garden medicinal,Topical tradition widely published
leonotis-leonurus,Leonotis leonurus,wild dagga,Afrikaans: wilde-dagga,mind-mood|general-medicines|perfumes-repellents,hold,need,SANBI / intoxicant-adjacent tradition,HOLD: mind-mood / smoking tradition; metadata only
sceletium-tortuosum,Sceletium tortuosum,kanna,Afrikaans: kougoed,mind-mood,hold,need,SANBI / commercial standardised extracts,HOLD: mind-mood; no prep/dose; consent + safety gate
hoodia-gordonii,Hoodia gordonii,hoodia,Afrikaans: ghaap (regional),general-medicines|tonic-plants,hold,need,SANBI / San benefit-sharing landmark cases,HOLD: appetite-claim commerce + ABS politics; name only until review
mentha-longifolia,Mentha longifolia,wild mint,Afrikaans: kruisement; isiZulu: ufuthana,beverages|general-medicines|perfumes-repellents,open,have,SANBI / widespread culinary-medicinal mint,Common open culinary use
dodonaea-viscosa,Dodonaea viscosa,sand olive,Afrikaans: ysterhoutbos / sandolien,general-medicines|wounds-skin|utility-timbers,caution,need,SANBI / pantropical; local use reports vary,Identity broad; local provenance required
aloe-arborescens,Aloe arborescens,krantz aloe,Afrikaans: kransaalwyn,wounds-skin|general-medicines|soaps-cosmetics,caution,have,SANBI / widely cultivated,Distinct from A. ferox; anti-substitution
agathosma-crenulata,Agathosma crenulata,oval-leaf buchu,Afrikaans: anysboegoe,general-medicines|perfumes-repellents|beverages,caution,have,SANBI / trade substitute for betulina,Paired with betulina for anti-substitution drill
cyclopia-intermedia,Cyclopia intermedia,honeybush,Afrikaans: heuningbos,beverages|tonic-plants,open,have,SANBI / commercial herbal tea,Food/beverage open band; Plate is *Cyclopia genistoides* fallback
vigna-unguiculata,Vigna unguiculata,cowpea,Afrikaans: akkerboon; isiZulu: imbumba,vegetables|seeds-nuts|cereals,open,need,SANBI / FAO staple legume,Food staple; agricultural
colocasia-esculenta,Colocasia esculenta,amadumbe / taro,isiZulu: amadumbe,roots-bulbs-tubers|vegetables,caution,need,SANBI / staple tuber; oxalate caution,Food with known prep hazards if raw; no wild-forage guide
amaranthus-hybridus,Amaranthus hybridus,pigweed / thepe,Sesotho: thepe; Afrikaans: misbredie,vegetables,open,need,SANBI / leafy vegetable tradition,Food open band
cleome-gynandra,Cleome gynandra,spider plant / African cabbage,Afrikaans: snotterbel; isiZulu: unzeke,vegetables,open,need,SANBI / FAO traditional leafy vegetable,Food open band
dovyalis-caffra,Dovyalis caffra,kei apple,Afrikaans: kei-appel,fruits-berries|dyes-tans,open,need,SANBI / hedge + fruit,Food/craft
englerophytum-magalismontanum,Englerophytum magalismontanum,stamvrug,Afrikaans: stamvrug,fruits-berries,open,need,SANBI / indigenous fruit,Food open band
vangueria-infausta,Vangueria infausta,wild medlar,Afrikaans: wildemispel; isiZulu: umviyo,fruits-berries,open,need,SANBI / indigenous fruit,Food open band
trichilia-emetica,Trichilia emetica,natal mahogany,Afrikaans: rooiessenhout; isiZulu: umkhuhlu,seeds-nuts|soaps-cosmetics|utility-timbers,caution,need,SANBI / oil seed + timber,Seed oil + soap tradition; watch toxicity notes on some parts
ricinus-communis,Ricinus communis,castor oil plant,Afrikaans: kasterolieboom,soaps-cosmetics|general-medicines,hold,need,Naturalised; ricin in seeds,HOLD: high-toxicity seeds; name + hazard only
boophone-disticha,Boophone disticha,century plant / sore-eye flower,Afrikaans: seeroogblom; isiZulu: incotho,mind-mood|general-medicines|wounds-skin,hold,need,SANBI / highly toxic bulb,HOLD: poison / ritual; metadata only
